"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"5","0.4","true","true","false","true","20","7.432","724.4339306597846"
"6","0.5","true","true","false","true","19","7.82","593.854605295082"
"7","0.6","true","true","false","true","26","8.932","478.46910807986285"
"8","0.7","true","true","false","true","27","8.636","419.58842846108934"
"4","0.3","true","true","false","true","19","7.2","859.3530634236558"
"1","0","true","true","false","true","18","6.98","1235.4654045838838"
"3","0.2","true","true","false","true","24","6.832","1035.111233259787"
"2","0.1","true","true","false","true","20","6.504","1185.867324298293"
"9","0.8","true","true","false","true","22","8.848","367.9081313328486"
"8","0.7","true","true","false","true","28","8.68","418.8459426940248"
"7","0.6","true","true","false","true","27","8.924","474.82687484788687"
"5","0.4","true","true","false","true","21","7.548","723.5232356419422"
"6","0.5","true","true","false","true","20","7.852","590.7214691046476"
"3","0.2","true","true","false","true","25","6.764","1037.130186408111"
"8","0.7","true","true","false","true","29","8.688","418.096023984421"
"4","0.3","true","true","false","true","20","7.16","858.5365873778122"
"7","0.6","true","true","false","true","28","9.016","473.0284571228017"
"2","0.1","true","true","false","true","21","6.396","1198.1097039283586"
"9","0.8","true","true","false","true","23","8.872","366.67456055726177"
"5","0.4","true","true","false","true","22","7.544","722.3633135267693"
"1","0","true","true","false","true","19","6.944","1242.2887862726486"
"6","0.5","true","true","false","true","21","7.916","588.1551854258092"
"8","0.7","true","true","false","true","30","8.712","416.88856062651155"
"3","0.2","true","true","false","true","26","6.86","1043.4745244729152"
"7","0.6","true","true","false","true","29","8.996","471.7869767665097"
"4","0.3","true","true","false","true","21","7.304","856.891932798261"
"9","0.8","true","true","false","true","24","8.924","365.79642573345046"
"5","0.4","true","true","false","true","23","7.668","721.8447624469524"
"8","0.7","true","true","false","true","31","8.724","415.8145968007342"
"6","0.5","true","true","false","true","22","8.004","586.0016047390787"
"1","0","true","true","false","true","20","6.868","1270.7590457115987"
"3","0.2","true","true","false","true","27","6.96","1051.6451556509448"
"7","0.6","true","true","false","true","30","9.052","470.1557966383342"
"2","0.1","true","true","false","true","22","6.476","1207.454715805397"
"9","0.8","true","true","false","true","25","8.928","364.7905805418978"
"8","0.7","true","true","false","true","32","8.716","415.63056166674704"
"5","0.4","true","true","false","true","24","7.764","722.5759331950333"
"4","0.3","true","true","false","true","22","7.304","854.9532150585228"
"7","0.6","true","true","false","true","31","9.068","469.45097832947073"
"3","0.2","true","true","false","true","28","6.888","1054.3289824872552"
"6","0.5","true","true","false","true","23","8.04","585.7294689912084"
"1","0","true","true","false","true","21","7","1271.3040608386202"
"8","0.7","true","true","false","true","33","8.692","415.3286806549288"
"2","0.1","true","true","false","true","23","6.52","1209.887440692329"
"9","0.8","true","true","false","true","26","9.016","364.0844459851002"
"7","0.6","true","true","false","true","32","9.012","468.78767328619983"
"3","0.2","true","true","false","true","29","6.968","1055.9963563591507"
"5","0.4","true","true","false","true","25","7.796","721.8006587091943"
"4","0.3","true","true","false","true","23","7.404","857.7210995682432"
"8","0.7","true","true","false","true","34","8.716","414.6419696637157"
"6","0.5","true","true","false","true","24","8.144","585.2430719920098"
"7","0.6","true","true","false","true","33","9.1","466.6700419810602"
"1","0","true","true","false","true","22","6.964","1283.3494413508756"
"2","0.1","true","true","false","true","24","6.5","1219.9176221505293"
"9","0.8","true","true","false","true","27","8.936","363.716165132931"
"3","0.2","true","true","false","true","30","6.944","1060.8970988364124"
"8","0.7","true","true","false","true","35","8.74","414.1608870217605"
"5","0.4","true","true","false","true","26","7.76","717.9535271897022"
"7","0.6","true","true","false","true","34","9.152","465.5958937679909"
"4","0.3","true","true","false","true","24","7.328","855.4065600063344"
"6","0.5","true","true","false","true","25","8.136","583.640604947512"
"8","0.7","true","true","false","true","36","8.72","413.9035950024742"
"3","0.2","true","true","false","true","31","6.932","1065.1457517026774"
"9","0.8","true","true","false","true","28","9.02","362.8613106483175"
"2","0.1","true","true","false","true","25","6.552","1223.1378117412048"
"1","0","true","true","false","true","23","6.816","1298.127041457341"
"5","0.4","true","true","false","true","27","7.84","716.9982718624957"
"7","0.6","true","true","false","true","35","9.184","464.44556158555184"
"4","0.3","true","true","false","true","25","7.26","857.3489183079299"
"6","0.5","true","true","false","true","26","8.124","578.3679498037974"
"3","0.2","true","true","false","true","32","7.032","1066.8316372567913"
"8","0.7","true","true","false","true","37","8.732","413.6805902671928"
"9","0.8","true","true","false","true","29","9.02","361.9790222043103"
"1","0","true","true","false","true","24","6.868","1309.8172637134098"
"2","0.1","true","true","false","true","26","6.5","1231.7207202223958"
"7","0.6","true","true","false","true","36","9.184","463.2348297600239"
"5","0.4","true","true","false","true","28","7.836","716.6819258022491"
"3","0.2","true","true","false","true","33","7.024","1068.5177535396738"
"8","0.7","true","true","false","true","38","8.692","413.4461492994581"
"6","0.5","true","true","false","true","27","8.236","575.4163391110637"
"4","0.3","true","true","false","true","26","7.384","864.5775547173554"
"9","0.8","true","true","false","true","30","8.992","361.71369553058435"
